"","pop","income","ipaddr","ufo2010","infections"
"Oconee, SouthCarolina",74627,42641,50309,3,54
"Ontario, NewYork",108519,57069,98711,15,68
"Orange, Texas",82977,48833,50437,4,88
"Orangeburg, SouthCarolina",91476,33162,39687,4,68
"Oswego, NewYork",121700,47036,140356,3,202
"Ozaukee, Wisconsin",86823,75634,64241,7,54
"Parker, Texas",119712,63725,81677,14,66
"Payne, Oklahoma",78399,35716,114105,2,28
"Pennington, SouthDakota",104347,48378,153999,16,85
"Pickens, SouthCarolina",119670,42241,88572,13,105
"Platte, Missouri",92054,66487,56646,5,30
"Polk, Oregon",76353,52865,47319,12,37
"Portage, Wisconsin",70433,51887,164386,2,39
"Pottawatomie, Oklahoma",70760,41332,42785,4,42
"Pottawattamie, Iowa",92913,49924,68338,1,74
"Potter, Texas",122335,37766,130131,20,132
"Putnam, Florida",73263,34174,53645,7,85
"Putnam, NewYork",99607,92711,51978,6,85
"Putnam, Tennessee",73229,34305,133204,6,183
"Raleigh, WestVirginia",79021,38596,33879,12,56
"Randall, Texas",125082,57121,85885,4,64
"Rapides, Louisiana",132373,40470,108880,0,169
"Richland, Ohio",122673,43098,102379,6,118
"Riley, Kansas",75508,41427,197834,6,61
"Roanoke, Virginia",92901,62895,184591,16,136
"Rockdale, Georgia",85820,55819,55037,10,74
"Rockingham, NorthCarolina",92720,38311,37203,0,29
"Rockingham, Virginia",77391,51775,137941,9,61
"Rockwall, Texas",83021,82146,79656,5,42
"Rogers, Oklahoma",88367,58434,37461,1,77
"Ross, Ohio",77429,44577,36435,17,55
"Saline, Arkansas",111845,52982,60208,4,89
"SanJuan, NewMexico",128529,49024,39523,16,31
"Scioto, Ohio",78477,33596,90954,18,49
"Sebastian, Arkansas",127304,40680,136705,20,120
"Sevier, Tennessee",92512,42569,98482,6,94
"Sheboygan, Wisconsin",115009,52993,80527,8,81
"Sherburne, Minnesota",89455,71819,60532,8,50
"Shiawassee, Michigan",69232,47552,50954,4,49
"Skagit, Washington",118222,55555,72689,27,43
"Somerset, Pennsylvania",76957,41102,28150,7,54
"Spotsylvania, Virginia",125684,78299,149661,6,95
"StClair, Alabama",85237,49200,68710,4,229
"StCroix, Wisconsin",85242,68513,66451,6,74
"StLandry, Louisiana",83662,34350,32099,5,90
"StLawrence, NewYork",112232,43390,274470,8,77
"StMarys, Maryland",108987,82529,140901,2,53
"Steuben, NewYork",99063,44967,222043,4,75
"Story, Iowa",91140,49733,237810,11,61
"Strafford, NewHampshire",124119,59082,134660,13,86
"Suffolk, Virginia",85181,65351,66281,6,82
